,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,30,34.8,3,1,0,14,20,20,86,11,24,0,0,0,125,37,59,38.5,Matches
David Luiz\David-Luiz,br BRA,DF,32,31.2,5,2,0,30,14,1,5,30,20,0,3,0,210,58,34,63.0,Matches
Bernd Leno\Bernd-Leno,de GER,GK,27,29.4,2,0,0,0,4,0,0,0,0,0,0,0,150,0,0,,Matches
Granit Xhaka\Granit-Xhaka,ch SUI,MF,26,28.7,10,0,0,56,32,0,16,21,27,0,1,0,319,51,52,49.5,Matches
Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,24,22.3,4,0,0,14,37,4,108,7,19,0,0,0,134,13,41,24.1,Matches
Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,28,20.8,8,0,0,43,45,13,15,7,19,1,0,0,102,22,64,25.6,Matches
Bukayo Saka\Bukayo-Saka,eng ENG,MF,17,19.5,6,0,0,22,28,10,67,12,22,0,0,0,138,12,37,24.5,Matches
Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,20,19.4,6,0,0,17,49,0,6,30,13,1,0,0,192,11,18,37.9,Matches
Sead Kolasinac\Sead-Kolasinac,ba BIH,DF,26,18.9,4,0,0,20,16,5,29,24,18,0,0,0,193,24,18,57.1,Matches
Sokratis\Sokratis,gr GRE,DF,31,18.8,6,0,0,19,12,1,1,14,13,0,0,0,109,53,28,65.4,Matches
Dani Ceballos\Dani-Ceballos,es ESP,MF,22,18.8,1,0,0,19,35,0,72,30,28,0,0,0,190,11,22,33.3,Matches
Mesut Özil\Mesut-Ozil,de GER,MF,30,16.0,1,0,0,14,18,6,71,5,10,0,0,0,92,3,3,50.0,Matches
Lucas Torreira\Lucas-Torreira,uy URU,MF,23,16.8,7,0,0,24,43,1,12,31,24,0,0,0,215,9,18,33.3,Matches
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,21,15.4,6,1,1,15,13,0,17,29,27,0,0,0,131,14,13,51.9,Matches
Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,27,13.4,2,0,0,14,3,0,2,18,9,0,0,0,126,68,22,75.6,Matches
Héctor Bellerín\Hector-Bellerin,es ESP,DF,24,12.9,2,0,0,15,3,1,26,18,16,0,0,0,100,13,17,43.3,Matches
Calum Chambers\Calum-Chambers,eng ENG,DF,24,12.2,5,0,0,18,4,0,34,15,18,0,1,0,123,37,27,57.8,Matches
Kieran Tierney\Kieran-Tierney,sco SCO,DF,22,11.0,2,0,0,8,12,0,44,9,11,0,1,0,98,10,10,50.0,Matches
Joe Willock\Joe-Willock,eng ENG,MF,19,9.5,2,0,0,10,13,0,7,3,15,0,0,0,100,9,15,37.5,Matches
Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,26,8.6,2,0,0,0,0,0,0,0,0,0,0,0,39,0,0,,Matches
Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,20,7.0,0,1,0,16,10,3,1,1,7,0,0,0,30,6,8,42.9,Matches
Reiss Nelson\Reiss-Nelson,eng ENG,FW,19,7.0,1,0,0,8,8,4,26,3,6,0,0,0,34,0,7,0.0,Matches
Gabriel Martinelli\Gabriel-Martinelli,br BRA,FW,18,7.4,1,0,0,9,10,2,22,3,13,0,0,0,34,7,32,17.9,Matches
Rob Holding\Rob-Holding,eng ENG,DF,23,6.5,1,0,0,4,3,0,0,5,3,0,0,0,37,16,14,53.3,Matches
Cédric Soares\Cedric-Soares,pt POR,DF,27,2.8,0,0,0,6,1,0,18,3,5,0,0,0,23,2,3,40.0,Matches
Pablo Marí\Pablo-Mari,es ESP,DF,25,1.3,0,0,0,2,0,0,0,1,1,0,0,0,8,4,3,57.1,Matches
Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,19,1.1,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,,Matches
Matt Macey\Matt Macey,eng ENG,GK,19,0,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,,Matches
Dejan Iliev\Dejan Iliev,eng ENG,GK,19,0,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,,Matches
Mohamed Elneny\Mohamed Elneny,eng ENG,MF,19,0,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,,Matches
William Saliba\William Saliba,eng ENG,DF,19,0,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,,Matches
