Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerial Won,Aerial Lost,Aerial Won%
Arsenal,29,75,5,1,367,387,67,629,310,342,1,5,0,2764,436,505,46.3
Aston Villa,28,64,1,1,391,456,58,702,390,344,2,5,1,2948,598,654,47.8
Bournemouth,27,73,3,2,327,347,59,551,429,313,1,4,0,3206,654,702,48.2
Brighton,25,54,2,1,344,294,60,626,358,372,2,2,2,3190,569,491,53.7
Burnley,22,62,0,0,371,340,80,630,335,310,1,5,1,3221,832,800,51.0
Chelsea,27,56,0,0,349,342,57,758,403,416,6,2,3,3333,582,584,49.9
Crystal Palace,25,53,1,0,368,420,50,514,399,379,2,1,2,3147,663,655,50.3
Everton,23,68,3,3,418,352,56,733,369,380,0,1,3,3148,732,737,49.8
Leicester City,22,39,1,1,372,397,59,685,371,429,6,8,0,3139,603,538,52.8
Liverpool,24,35,1,0,301,259,46,793,321,344,4,1,1,3508,564,501,53.0
Manchester City,24,62,4,2,330,262,61,834,317,323,9,2,1,3086,457,411,52.6
Manchester Utd,28,62,0,0,373,383,50,587,326,324,10,2,1,3065,510,436,53.9
Newcastle Utd,27,57,3,0,326,368,68,514,350,346,0,0,2,2977,650,683,48.8
Norwich City,28,64,1,0,332,394,45,441,341,397,1,7,2,3055,468,590,44.2
Sheffield Utd,26,58,2,1,365,262,70,792,378,361,1,2,0,3320,782,763,50.6
Southampton,24,49,4,1,409,339,54,606,364,434,2,4,1,3429,699,777,47.4
Tottenham,29,72,3,1,366,386,59,591,326,404,4,7,2,3255,572,577,49.8
Watford,26,72,3,2,421,296,56,580,364,388,4,7,3,3333,704,698,50.2
West Ham,28,61,1,1,342,305,64,658,376,422,3,6,3,3183,716,716,50.0
Wolves,20,56,2,2,362,320,46,638,382,387,3,2,1,3185,650,623,51.1
