,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,1587,1962,80.9,26851,11857,23,50,46.0,1333,1543,86.4,231,369,62.6,2,4.0,-2.0,34,115,63,9,292,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,665,785,84.7,9245,1686,27,45,60.0,592,678,87.3,46,62,74.2,8,5.2,+2.8,34,37,44,1,68,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,1469,1701,86.4,30143,10917,7,22,31.8,1048,1167,89.8,414,512,80.9,0,0.7,-0.7,5,92,7,3,91,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,459,776,59.1,8932,3604,11,62,17.7,346,455,76.0,102,259,39.4,2,2.8,-0.8,30,48,29,12,101,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,2067,2342,88.3,50426,14985,2,12,16.7,1242,1326,93.7,823,1004,82.0,0,0.5,-0.5,7,193,23,1,133,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,1644,2213,74.3,34938,13658,13,56,23.2,1165,1375,84.7,466,782,59.6,12,6.3,+5.7,48,129,59,25,322,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,1039,1262,82.3,30318,16760,1,2,50.0,513,520,98.7,525,740,70.9,0,0.0,0.0,0,12,0,0,0,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,843,1050,80.3,13914,3358,22,58,37.9,702,821,85.5,119,171,69.6,3,2.5,+0.5,28,81,32,2,99,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,188,260,72.3,3320,863,4,24,16.7,146,180,81.1,38,56,67.9,0,0.9,-0.9,12,16,14,9,28,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,1838,2226,82.6,29324,9874,27,73,37.0,1608,1805,89.1,203,348,58.3,4,4.0,0.0,31,114,23,9,175,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,354,433,81.8,6665,2943,2,5,40.0,279,315,88.6,73,113,64.6,0,0.2,-0.2,3,31,0,0,42,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0.0,1,2,50.0,13,3,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
13,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,33.8,1328,1819,73.0,22850,7749,52,125,41.6,1042,1271,82.0,234,423,55.3,4,6.7,-2.7,60,109,89,13,223,Matches
14,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,9.8,122,180,67.8,1667,216,10,19,52.6,104,142,73.2,8,19,42.1,0,0.2,-0.2,2,4,2,1,6,Matches
15,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,23.4,513,777,66.0,8177,2307,14,49,28.6,434,574,75.6,65,154,42.2,4,3.3,+0.7,20,43,19,8,76,Matches
16,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,15.9,498,652,76.4,8420,2162,12,51,23.5,412,491,83.9,74,110,67.3,2,1.3,+0.7,28,39,26,2,71,Matches
17,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,22.1,496,655,75.7,7602,1359,20,51,39.2,405,511,79.3,71,93,76.3,4,3.7,+0.3,33,21,17,2,46,Matches
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,974,1136,85.7,27156,14923,2,2,100.0,509,514,99.0,463,620,74.7,0,0.0,0.0,0,3,0,0,1,Matches
19,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,22.2,534,689,77.5,9771,2810,10,25,40.0,413,486,85.0,111,178,62.4,1,0.6,+0.4,12,58,20,4,82,Matches
20,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,335,454,73.8,5193,1161,12,32,37.5,283,342,82.7,40,80,50.0,0,1.3,-1.3,14,23,17,5,31,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,526,742,70.9,7324,1884,18,47,38.3,465,614,75.7,43,81,53.1,5,4.0,+1.0,33,28,33,4,68,Matches
22,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,6.3,253,343,73.8,4361,1788,7,18,38.9,199,251,79.3,47,74,63.5,2,0.5,+1.5,5,9,11,7,40,Matches
23,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,10.9,127,208,61.1,2051,287,5,16,31.3,103,156,66.0,19,36,52.8,2,0.4,+1.6,9,4,4,0,9,Matches
24,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,13.1,201,273,73.6,2823,526,9,31,29.0,172,205,83.9,20,37,54.1,2,1.0,+1.0,13,11,6,0,16,Matches
25,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,5.3,159,209,76.1,2483,725,5,13,38.5,132,162,81.5,22,34,64.7,0,0.3,-0.3,8,11,7,1,24,Matches
26,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,37.8,2471,2892,85.4,40522,14256,30,92,32.6,2145,2370,90.5,296,430,68.8,5,2.4,+2.6,25,160,47,19,231,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,13.9,410,515,79.6,6440,1687,14,34,41.2,344,390,88.2,52,91,57.1,3,1.9,+1.1,23,27,10,3,42,Matches
