,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1558,1175,383,62,0,222,35,88,45,23,15,3,930,322,306,997,256,21,275,3,1227,8,14,36,47,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,35.0,1663,1341,322,26,1,288,10,72,0,0,0,0,1008,384,271,215,1092,44,296,2,1300,0,30,22,69,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.1,407,356,51,0,0,145,5,10,0,0,0,0,256,79,72,31,302,18,0,17,285,1,6,8,26,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,11.4,246,239,7,0,3,69,8,12,0,0,0,0,148,62,36,17,195,11,0,4,170,1,9,8,20,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,314,219,95,27,0,40,12,0,0,0,0,0,150,24,140,31,217,1,0,49,227,0,9,0,1,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,367,349,18,1,5,90,1,10,0,0,0,0,273,71,23,41,303,11,1,9,284,0,4,11,15,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,18,17,1,0,0,5,0,0,0,0,0,0,6,8,4,2,12,3,0,0,15,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,1183,1130,53,33,1,150,15,4,0,0,0,0,852,134,197,840,209,92,20,1,1042,2,11,5,13,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,8.8,461,430,31,0,1,76,24,65,10,2,6,0,262,77,122,51,369,16,21,3,312,0,11,9,26,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,31.9,1840,1759,81,72,6,200,64,8,0,0,0,0,1197,186,457,333,1360,99,9,7,1521,10,37,9,12,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,34.2,3063,2428,635,85,6,399,221,372,159,43,72,8,1443,551,1069,298,2278,79,391,7,2192,11,84,35,110,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,26.3,857,650,207,48,1,124,24,0,0,0,0,0,549,78,230,61,634,2,0,124,737,2,18,3,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.4,798,740,58,9,6,191,8,7,4,0,0,1,583,138,77,33,697,29,17,8,618,6,8,16,37,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,32.8,875,862,13,2,2,200,22,40,1,0,1,0,621,142,112,759,67,29,8,7,670,3,15,31,38,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,13.9,980,830,150,7,0,212,17,62,1,1,0,0,599,198,183,704,78,35,142,0,809,1,12,9,29,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,664,609,55,5,1,135,9,9,0,0,0,0,471,133,60,30,540,33,50,1,564,1,5,15,16,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,361,354,7,4,0,68,5,1,0,0,0,0,285,35,41,23,314,17,2,1,310,1,4,7,5,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,934,903,31,9,3,188,23,36,5,3,1,0,635,174,125,124,750,31,12,13,725,3,14,28,40,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,12,11,1,0,0,5,0,0,1,0,0,0,8,2,2,2,6,2,0,1,8,0,0,1,1,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,426,377,49,3,0,70,7,42,0,0,0,0,267,78,81,342,15,18,46,1,335,1,9,5,14,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,18.3,466,428,38,1,5,162,13,44,0,0,0,0,222,126,118,43,302,30,24,15,299,4,8,5,33,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,18.7,597,579,18,0,2,154,8,23,0,0,0,0,382,132,83,129,421,22,14,4,452,2,10,16,32,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,32.0,1048,799,249,54,0,118,19,0,0,0,0,0,685,61,302,151,747,2,1,139,849,5,14,9,1,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,208,198,10,2,1,45,8,17,6,2,2,0,147,20,41,168,26,9,1,0,163,2,5,4,6,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,33.8,859,827,32,0,1,237,9,85,2,0,0,0,541,169,149,99,708,22,2,3,590,2,23,22,50,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,29.0,1591,1328,263,14,1,269,19,131,0,0,0,0,875,408,308,167,1044,92,249,3,1210,3,27,31,68,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,34.0,816,780,36,2,2,243,10,25,1,0,0,0,570,151,95,48,666,30,12,16,664,3,9,18,32,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,33.9,2661,2282,379,20,1,394,40,117,0,0,0,0,1611,491,559,270,1867,105,359,7,2126,6,38,38,88,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,72,72,0,0,0,7,1,0,0,0,0,0,47,14,11,10,52,5,0,1,64,0,0,0,1,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.3,188,141,47,5,0,18,8,26,10,4,1,5,101,36,51,127,17,8,32,0,147,2,0,2,9,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,487,469,18,13,1,81,21,1,0,0,0,0,288,67,132,69,357,31,5,4,361,3,8,8,13,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,37.0,1525,1224,301,7,0,270,25,128,1,1,0,0,748,368,409,50,1084,69,293,7,1154,4,30,16,85,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,20.0,832,613,219,16,2,87,22,26,0,0,0,0,307,167,358,64,490,57,203,1,557,6,27,6,27,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.2,613,603,10,5,2,158,27,12,3,1,1,0,474,77,62,82,510,10,2,2,537,2,6,10,8,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,253,244,9,0,1,97,1,5,0,0,0,0,123,59,71,46,142,22,1,8,155,1,10,9,13,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,22.9,726,722,4,2,3,181,8,42,0,0,0,0,502,122,102,108,566,22,2,9,556,4,10,21,34,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,35.1,1438,1270,168,20,0,245,35,49,0,0,0,0,760,249,429,116,986,137,148,5,1067,5,47,13,28,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,5,5,0,0,0,2,0,0,0,0,0,0,2,1,2,0,4,0,0,0,4,0,0,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,76,70,6,0,0,16,2,0,0,0,0,0,53,14,9,23,48,0,0,1,61,0,0,3,3,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,1434,1371,63,28,1,177,25,1,0,0,0,0,906,153,375,224,975,140,34,4,1143,3,26,12,16,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,686,557,129,16,2,98,5,26,0,0,0,0,420,159,107,50,488,26,113,0,558,2,8,11,29,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,239,224,15,3,0,41,8,4,0,0,0,0,134,26,79,14,180,17,12,2,185,1,5,3,1,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,221,200,21,1,0,31,5,2,0,0,0,0,128,26,67,21,162,11,20,1,174,0,6,2,4,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,7.8,387,375,12,12,0,57,18,0,0,0,0,0,281,57,49,299,55,17,0,3,334,0,8,8,7,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,326,313,13,0,2,145,5,5,0,0,0,0,143,85,98,21,165,37,0,9,190,0,5,11,14,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.1,174,167,7,0,0,39,15,31,6,6,0,0,87,31,56,138,24,8,1,0,117,0,2,1,5,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,9.5,353,348,5,2,0,100,9,23,0,0,0,0,237,69,47,35,274,16,3,2,273,0,11,4,14,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.5,243,232,11,4,0,63,1,10,3,2,0,0,168,46,29,11,211,10,1,4,210,0,5,2,2,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.0,560,546,14,2,4,114,12,35,6,5,0,0,413,73,74,143,401,10,1,4,415,0,13,15,31,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.3,370,319,51,1,0,80,1,16,0,0,0,0,193,88,89,248,30,20,50,2,274,0,12,9,14,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,29.5,1582,1176,406,47,0,252,44,114,25,7,10,7,780,326,476,1022,87,91,334,6,1181,6,29,28,60,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,106,104,2,2,0,24,5,1,0,0,0,0,69,20,17,14,80,8,0,0,86,0,0,3,5,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,27.8,1165,1106,59,20,4,281,20,15,0,0,0,0,692,215,258,820,127,99,39,5,867,4,41,19,29,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,13.2,605,593,12,10,0,99,22,6,0,0,0,0,422,102,81,47,523,17,2,6,510,2,9,10,9,Matches
