,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1839,95,529,883,532,51,1458,18,36,50.0,18,2,1000,5651,3129,1079,994,92.1,21,16,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,35.0,2100,171,784,891,591,52,1793,47,92,51.1,53,2,1305,9398,5392,1382,1232,89.1,38,48,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.1,725,31,59,345,346,163,675,20,35,57.1,21,0,416,2203,1077,1042,483,46.4,69,45,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,11.4,411,10,35,193,215,60,404,14,25,56.0,14,1,283,1733,793,624,290,46.5,39,27,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,638,356,155,154,99.4,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,572,2,21,207,386,154,551,27,45,60.0,28,2,428,2539,1396,780,450,57.7,24,41,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,1508,278,920,596,86,34,1455,5,5,100.0,5,0,845,5266,2910,948,900,94.9,7,5,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,8.8,567,11,95,231,278,20,536,10,27,37.0,12,2,386,2305,1059,453,390,86.1,8,12,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,31.9,2202,346,1196,1004,113,21,2122,0,2,0.0,0,0,1323,6418,2999,1492,1457,97.7,3,2,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,34.2,3429,101,816,1593,1229,63,2792,25,55,45.5,29,4,2056,9152,5620,2308,2177,94.3,36,22,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,26.3,912,743,905,8,0,0,705,0,0,,0,0,507,1967,1017,455,451,99.1,1,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.4,1121,36,168,569,469,96,1065,32,63,50.8,36,7,741,4577,2502,1095,767,70.0,44,56,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,32.8,1281,42,302,542,594,90,1269,45,92,48.9,53,4,958,9027,5102,1261,880,69.8,57,54,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,13.9,1154,25,285,479,463,66,1004,10,16,62.5,10,0,746,4177,2349,823,732,88.9,15,19,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,838,31,215,406,272,44,787,33,50,66.0,35,4,618,3821,2140,638,557,87.3,20,28,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,470,107,329,143,14,4,464,2,3,66.7,2,0,253,1003,474,297,289,97.3,1,1,Matches
