,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,29,50,2,2,367,134,17,36.5,10.79,3.94,0.13,0.36,45.2,43.7,0.12,+4.8,+4.3
Aston Villa,28,35,1,3,404,129,13,31.9,11.88,3.79,0.08,0.26,35.7,33.3,0.08,-0.7,+0.7
Bournemouth,27,31,2,2,338,101,19,29.9,9.94,2.97,0.09,0.29,35.9,34.4,0.10,-4.9,-5.4
Brighton,25,32,1,2,416,128,11,30.8,12.24,3.76,0.07,0.24,39.3,37.8,0.09,-7.3,-6.8
Burnley,22,37,2,2,333,113,16,33.9,9.79,3.32,0.11,0.31,37.7,36.2,0.11,-0.7,-1.2
Chelsea,27,63,7,7,561,192,24,34.2,16.50,5.65,0.10,0.29,60.9,56.1,0.10,+2.1,-0.1
Crystal Palace,25,28,3,3,331,101,13,30.5,9.74,2.97,0.08,0.25,32.1,29.9,0.09,-4.1,-4.9
Everton,23,39,1,1,432,146,18,33.8,12.71,4.29,0.09,0.26,45.4,44.7,0.11,-7.4,-7.7
Leicester City,22,62,5,7,467,160,17,34.3,13.74,4.71,0.12,0.36,54.3,49.0,0.11,+7.7,+8.0
Liverpool,24,73,5,5,514,192,16,37.4,15.12,5.65,0.13,0.35,64.6,60.8,0.12,+8.4,+7.2
Manchester City,24,84,6,10,640,217,24,33.9,18.82,6.38,0.12,0.36,81.1,73.7,0.12,+2.9,+4.3
Manchester Utd,28,58,9,13,487,186,31,38.2,14.32,5.47,0.10,0.26,51.4,42.3,0.09,+3.6,+4.7
Newcastle Utd,27,35,0,1,352,115,13,32.7,10.35,3.38,0.10,0.30,30.2,29.5,0.09,+4.8,+5.5
Norwich City,28,25,2,2,385,116,15,30.1,11.32,3.41,0.06,0.20,37.2,35.8,0.10,-12.2,-12.8
Sheffield Utd,26,32,1,1,327,102,4,31.2,9.62,3.00,0.09,0.30,38.3,37.6,0.12,-6.3,-6.6
Southampton,24,43,1,3,442,150,24,33.9,13.00,4.41,0.10,0.28,44.3,42.6,0.10,-2.3,-1.6
Tottenham,29,48,3,4,402,136,20,33.8,11.82,4.00,0.11,0.33,42.2,39.1,0.10,+5.8,+5.9
Watford,26,30,4,5,361,103,17,28.5,10.62,3.03,0.07,0.25,37.6,33.9,0.10,-7.6,-7.9
West Ham,28,40,3,3,365,143,10,39.2,10.74,4.21,0.10,0.26,40.3,38.0,0.11,-0.3,-1.0
Wolves,20,43,3,3,410,124,12,30.2,12.06,3.65,0.10,0.32,42.5,40.2,0.10,+0.5,-0.2
