,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,29,15971,19342,82.6,313410,92322,229,683,33.5,11815,13160,89.8,3927,5499,71.4,33,29.0,+4.0,276,1094,311,68,1451
Aston Villa,28,11310,15031,75.2,237973,85566,194,575,33.7,7947,9321,85.3,3169,5135,61.7,31,30.3,+0.7,351,872,281,92,1365
Bournemouth,27,11719,15645,74.9,230059,84087,228,698,32.7,8713,10300,84.6,2778,4647,59.8,22,27.7,-5.7,258,878,252,51,1351
Brighton,25,15425,19180,80.4,311627,101320,196,641,30.6,11301,12881,87.7,3928,5658,69.4,23,26.9,-3.9,318,1063,305,81,1590
Burnley,22,9594,13779,69.6,196142,76152,225,633,35.5,6790,8190,82.9,2579,4956,52.0,29,25.7,+3.3,252,752,199,70,1143
Chelsea,27,19631,23284,84.3,382468,107566,343,774,44.3,14571,16231,89.8,4717,6279,75.1,43,44.0,-1.0,437,1402,420,101,1783
Crystal Palace,25,11776,15470,76.1,228051,86919,295,716,41.2,8764,10231,85.7,2717,4523,60.1,19,24.3,-5.3,244,837,246,53,1360
Everton,24,12606,16451,76.6,268762,97050,181,638,28.4,8861,10396,85.2,3564,5417,65.8,31,29.0,+2.0,304,992,281,80,1591
Leicester City,24,16949,20678,82.0,326245,101385,268,728,36.8,12806,14374,89.1,3875,5576,69.5,48,42.1,+5.9,387,1223,318,80,1621
Liverpool,24,19662,23661,83.1,401076,118696,271,722,37.5,14219,15864,89.6,5172,7075,73.1,63,49.3,+13.7,419,1633,487,95,2050
Manchester City,24,23584,26913,87.6,457682,122069,280,751,37.3,17702,19299,91.7,5602,6863,81.6,68,64.2,+3.8,533,1847,571,96,2195
Manchester Utd,29,16557,20007,82.8,307094,92387,267,740,36.1,12825,14393,89.1,3465,4874,71.1,42,36.7,+5.3,387,1267,338,50,1669
Newcastle Utd,27,10310,13922,74.1,213550,80362,200,567,35.3,7404,8721,84.9,2706,4634,58.4,28,23.3,+4.7,290,758,190,67,1116
Norwich City,28,14419,18013,80.0,266489,86618,304,746,40.8,11082,12504,88.6,3033,4763,63.7,18,26.6,-8.6,295,869,223,42,1192
Sheffield Utd,26,11876,16129,73.6,239384,84085,231,707,32.7,8730,10246,85.2,2915,5176,56.3,24,31.1,-7.1,261,980,291,88,1392
Southampton,25,11870,16173,73.4,228103,81584,265,678,39.1,8943,10709,83.5,2662,4786,55.6,31,30.9,+0.1,327,944,298,70,1432
Tottenham,29,15376,19189,80.1,297650,91651,260,709,36.7,11530,13033,88.5,3586,5447,65.8,38,31.0,+7.0,323,1114,298,50,1477
Watford,26,10838,14951,72.5,214321,81942,275,665,41.4,7928,9528,83.2,2635,4758,55.4,20,26.5,-6.5,275,859,251,73,1305
West Ham,29,11598,15483,74.9,225534,85732,284,774,36.7,8562,10105,84.7,2752,4604,59.8,35,30.7,+4.3,303,918,246,82,1326
Wolves,20,13804,17511,78.8,292059,95494,214,651,32.9,9623,11165,86.2,3967,5695,69.7,34,32.6,+1.4,323,1000,229,81,1377
