,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,29,19342,17507,1835,476,35,3436,516,684,227,62,75,36,13409,2724,3209,6221,11233,596,744,278,15971,62,312,254,505
Aston Villa,28,15031,13099,1932,543,20,2669,576,777,193,102,37,13,8608,2469,3954,5337,7550,675,759,250,11310,59,366,214,396
Bournemouth,27,15645,13845,1800,447,47,2977,346,617,189,92,52,16,8916,2852,3877,4612,8625,871,769,253,11719,53,355,239,483
Brighton,25,19180,17442,1738,384,29,3467,629,668,171,60,65,31,12050,3232,3898,3893,12923,770,831,333,15425,63,359,303,494
Burnley,22,13779,11995,1784,408,27,2710,449,698,164,145,5,4,6620,2450,4709,4285,6932,817,832,248,9594,78,383,176,403
Chelsea,27,23284,21536,1748,375,36,4179,702,828,245,83,86,22,16246,3255,3783,4075,17085,682,827,240,19631,55,305,254,489
Crystal Palace,25,15470,13567,1903,496,15,3034,420,556,170,98,46,11,9256,2523,3691,3819,9353,657,842,275,11776,48,324,268,450
Everton,24,16451,14616,1835,453,41,2786,592,783,201,91,78,18,9726,2793,3932,4604,9426,761,820,255,12606,48,369,252,524
Leicester City,24,20678,18818,1860,478,63,3419,551,763,218,55,105,19,13914,3089,3675,4651,13817,710,853,250,16949,54,351,282,501
Liverpool,24,23661,21887,1774,410,87,3546,842,857,246,60,114,13,15799,3412,4450,5235,16107,827,826,258,19662,48,370,292,513
Manchester City,24,26913,25376,1537,346,99,4067,787,894,288,96,62,26,20411,3276,3226,9953,15023,666,669,280,23584,63,265,343,528
Manchester Utd,29,20007,18261,1746,448,42,3494,575,615,197,72,68,17,14253,2738,3016,5434,12658,565,786,237,16557,47,296,319,538
Newcastle Utd,27,13922,12190,1732,470,23,2721,557,570,149,60,58,12,7874,2103,3945,4013,7843,672,691,195,10310,67,298,225,373
Norwich City,28,18013,16209,1804,455,38,3596,459,470,162,66,78,10,11949,2883,3181,5319,10670,637,754,279,14419,42,338,270,439
Sheffield Utd,26,16129,14350,1779,363,20,3077,616,853,211,141,29,15,8651,2897,4581,5031,8459,928,871,181,11876,71,436,201,487
Southampton,25,16173,14271,1902,432,35,3068,462,661,200,83,81,26,8867,2772,4534,2972,10466,1027,923,206,11870,49,402,237,435
Tottenham,29,19189,17420,1769,452,47,3268,475,625,197,91,51,24,12736,2904,3549,5291,11736,727,760,221,15376,62,258,308,476
Watford,26,14951,13197,1754,397,27,2667,478,630,159,62,48,25,7864,2824,4263,3729,8754,838,812,201,10838,60,294,239,409
West Ham,29,15483,13739,1744,415,35,3008,458,702,187,93,53,25,8670,2608,4205,4415,8761,733,769,211,11598,55,280,234,501
Wolves,20,17511,15789,1722,390,34,2997,693,686,190,39,82,12,9948,3197,4366,3753,11380,839,792,233,13804,44,317,250,457
