,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,
Squad,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Arsenal,29,54.1,23619,2818,8332,11260,5613,909,21848,407,679,59.9,433,35,15919,95121,53908,18402,15971,86.8,439,450
Aston Villa,28,44.1,19419,2720,7189,8262,5241,769,17553,364,574,63.4,398,25,11357,73415,38924,13817,11310,81.9,406,412
Bournemouth,27,44.2,20231,2684,7607,8547,5221,808,18466,352,633,55.6,386,25,11965,72399,37991,14402,11719,81.4,510,419
Brighton,25,52.4,23567,2792,8582,10396,6067,865,21878,357,591,60.4,376,21,15349,89988,46704,18176,15425,84.9,457,495
Burnley,22,41.0,18151,2324,5841,8497,4682,632,16393,267,469,56.9,289,18,9562,53861,26191,12454,9594,77.0,391,345
Chelsea,27,60.9,27657,2326,8267,13518,7621,1168,25954,450,691,65.1,482,11,19509,108408,59122,22395,19631,87.7,450,447
Crystal Palace,25,44.4,20206,2448,7159,9257,4962,879,18327,440,703,62.6,465,24,12008,70847,37550,14363,11776,82.0,493,528
Everton,24,48.7,20982,2602,7292,9508,5397,853,19184,381,616,61.9,417,29,12617,75984,40192,15343,12606,82.2,477,457
Leicester City,24,57.9,25271,2293,7879,12203,6668,982,23481,403,661,61.0,435,22,16520,91743,49957,19573,16949,86.6,454,465
Liverpool,24,63.5,27726,2071,7194,14164,8047,1276,25976,406,658,61.7,447,26,18965,99312,54281,22699,19662,86.6,449,407
Manchester City,24,66.7,30704,2179,7164,15940,9698,1542,29191,516,787,65.6,542,22,22203,123723,73032,25992,23584,90.7,322,390
Manchester Utd,29,56.2,24287,2202,7126,11882,6925,943,22570,458,752,60.9,489,36,16579,99716,57610,18968,16557,87.3,422,441
Newcastle Utd,27,38.9,18315,2434,7402,7635,4286,591,16633,421,649,64.9,450,17,10572,63220,33896,12745,10310,80.9,439,397
Norwich City,28,49.9,22648,3155,9095,9864,5119,727,20909,443,721,61.4,475,33,14296,85322,46304,16980,14419,84.9,467,457
Sheffield Utd,26,43.5,20401,2234,6178,8803,6415,810,18658,358,530,67.5,380,22,11803,63491,32004,14804,11876,80.2,412,362
Southampton,25,48.6,21212,2175,6363,10128,5853,865,19332,439,716,61.3,472,22,11925,69557,36715,14787,11870,80.3,508,420
Tottenham,29,52.1,23701,2588,7722,11453,5975,807,21975,455,778,58.5,495,32,15245,88231,48066,18118,15376,84.9,395,458
Watford,26,42.3,19389,2208,6313,8792,5273,829,17663,345,598,57.7,367,15,11245,61936,33715,13646,10838,79.4,435,400
West Ham,29,43.6,19637,2150,6045,9412,5311,798,17924,390,623,62.6,412,23,11788,71916,37416,14411,11598,80.5,385,388
Wolves,20,48.6,21856,2056,7107,10654,5370,835,20165,510,807,63.2,552,32,13835,81524,47797,16368,13804,84.3,433,423
