,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG
Arsenal,29,593,16.03,422,54,47,36,34,72,1.95,53,3,4,9,3,0
Aston Villa,28,725,19.59,532,79,35,26,52,65,1.76,44,7,5,4,4,1
Bournemouth,27,544,14.70,382,64,31,29,37,54,1.46,30,3,5,9,6,1
Brighton,25,674,18.22,497,69,40,32,32,61,1.65,38,8,4,2,5,4
Burnley,22,537,14.51,379,63,25,34,35,60,1.62,41,8,3,5,2,1
Chelsea,27,946,26.28,717,81,51,45,52,100,2.78,73,5,6,7,9,0
Crystal Palace,25,505,13.65,334,58,50,22,39,52,1.41,34,3,5,2,6,2
Everton,24,661,17.86,438,82,43,53,43,63,1.70,41,5,5,8,2,2
Leicester City,24,833,22.51,604,75,63,40,49,110,2.97,87,5,7,2,7,2
Liverpool,24,865,24.03,654,68,69,37,35,125,3.47,86,10,12,8,7,2
Manchester City,24,1162,31.41,903,60,88,58,53,157,4.24,112,6,14,11,14,0
Manchester Utd,29,866,24.06,673,53,55,27,56,98,2.72,73,4,8,1,10,2
Newcastle Utd,27,577,15.59,414,58,45,30,30,56,1.51,40,5,3,6,2,0
Norwich City,28,629,17.00,463,50,46,36,33,36,0.97,27,2,3,2,1,1
Sheffield Utd,26,535,14.46,393,61,33,28,17,57,1.54,40,2,5,6,1,3
Southampton,25,704,19.03,486,67,61,38,52,64,1.73,36,4,10,7,7,0
Tottenham,29,688,18.59,527,40,54,31,34,86,2.32,54,3,12,12,3,2
Watford,26,587,15.86,425,51,39,33,39,44,1.19,27,4,2,4,7,0
West Ham,29,618,17.17,453,67,38,24,36,79,2.19,52,7,6,5,9,0
Wolves,20,680,18.38,472,63,69,32,42,82,2.22,48,8,8,8,8,2
