,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,29,53,2,2,390,140,19,35.9,10.54,3.78,0.13,0.36,47.7,46.2,0.12,+5.3,+4.8
Aston Villa,28,39,1,3,440,142,16,32.3,11.89,3.84,0.09,0.27,40.2,37.8,0.09,-1.2,+0.2
Bournemouth,27,35,3,3,372,111,20,29.8,10.05,3.00,0.09,0.29,42.4,40.1,0.11,-7.4,-8.1
Brighton,25,33,1,2,441,133,11,30.2,11.92,3.59,0.07,0.24,41.3,39.8,0.09,-8.3,-7.8
Burnley,22,40,3,3,370,123,17,33.2,10.00,3.32,0.10,0.30,42.3,40.0,0.11,-2.3,-3.0
Chelsea,27,64,7,7,598,202,26,33.8,16.61,5.61,0.10,0.28,64.4,59.5,0.10,-0.4,-2.5
Crystal Palace,25,28,3,3,360,114,15,31.7,9.73,3.08,0.07,0.22,34.5,32.3,0.09,-6.5,-7.3
Everton,24,41,1,1,452,150,20,33.2,12.22,4.05,0.09,0.27,47.7,46.9,0.11,-6.7,-6.9
Leicester City,24,65,5,7,519,178,19,34.3,14.03,4.81,0.12,0.34,59.5,54.2,0.11,+5.5,+5.8
Liverpool,24,75,5,5,561,209,17,37.3,15.58,5.81,0.12,0.33,68.6,64.8,0.12,+6.4,+5.2
Manchester City,24,95,6,11,700,238,27,34.0,18.92,6.43,0.13,0.37,90.0,81.7,0.12,+5.0,+7.3
Manchester Utd,29,62,9,13,511,194,33,38.0,14.19,5.39,0.10,0.27,57.1,47.3,0.10,+4.9,+5.7
Newcastle Utd,27,37,0,1,394,125,14,31.7,10.65,3.38,0.09,0.30,33.5,32.7,0.09,+3.5,+4.3
Norwich City,28,25,2,2,404,120,16,29.7,10.92,3.24,0.06,0.19,38.5,37.1,0.10,-13.5,-14.1
Sheffield Utd,26,35,1,1,348,106,4,30.5,9.41,2.86,0.10,0.32,41.3,40.5,0.12,-6.3,-6.5
Southampton,25,48,1,4,485,166,27,34.2,13.11,4.49,0.10,0.28,52.4,49.2,0.11,-4.4,-2.2
Tottenham,29,55,3,4,432,153,21,35.4,11.68,4.14,0.12,0.34,46.0,42.9,0.10,+9.0,+9.1
Watford,26,33,6,7,392,109,17,27.8,10.59,2.95,0.07,0.25,42.6,37.3,0.10,-9.6,-10.3
West Ham,29,47,3,3,393,154,11,39.2,10.92,4.28,0.11,0.29,43.8,41.5,0.11,+3.2,+2.5
Wolves,20,49,4,4,448,141,12,31.5,12.11,3.81,0.10,0.32,47.4,44.4,0.10,+1.6,+0.6
